page_id,page_length,page_namespace,page_title
1891,58,14,'1983'
1892,25,0,'1984'
1893,58,14,'1984'
1894,276,0,'1985_сон'
1895,58,14,'1985'
1896,276,0,'1986_сон'
1897,58,14,'1986'
1898,276,0,'1987_сон'
1899,58,14,'1987'
1900,276,0,'1988_сон'
1901,58,14,'1988'
1902,276,0,'1989_сон'
1903,58,14,'1989'
1904,276,0,'1990_сон'
1905,58,14,'1990'
1906,276,0,'1991'
1907,58,14,'1991'
1908,276,0,'1992'
1909,58,14,'1992'
1910,276,0,'1993_сон'
1911,58,14,'1993'
1912,276,0,'1994_сон'
1913,58,14,'1994'
1914,276,0,'1995_сон'
1915,58,14,'1995'
1916,276,0,'1996_сон'
1917,58,14,'1996'
1918,308,0,'1997_сон'
1919,58,14,'1997'
1920,276,0,'1998_сон'
1921,58,14,'1998'
1922,276,0,'1999_сон'
1923,58,14,'1999'
1924,276,0,'2000_сон'
1925,58,14,'2000'
1926,277,0,'2001_сон'
1927,59,14,'2001'
1928,277,0,'2002_сон'
1929,59,14,'2002'
1930,59,14,'2003'
1931,277,0,'2004_сон'
1932,59,14,'2004'
1933,662,0,'2005_сон'
1934,59,14,'2005'
1935,277,0,'2006_сон'
1936,59,14,'2006'
1937,277,0,'2007_сон'
1938,59,14,'2007'
1939,277,0,'2008_сон'
1940,59,14,'2008'
1941,278,0,'2009_сон'
1942,59,14,'2009'
1943,266,0,'Жулам'
1945,42,2,'Awarior'
1946,0,3,'Awarior'
1948,45050,0,'ГІурус_мацІ'
1949,56,1,'ГӀурус_мацI'
1951,4582,3,'Awar~avwiki'
1952,72,3,'84.185.236.89'
1953,4636,2,'HenryLi'
1954,40,2,'Gaudio'
2055,231,2,'Andry'
2056,47,2,'Hégésippe_Cormier'
2057,58,3,'Hégésippe_Cormier'
2058,54,14,'Россиялъул_Федерация'
2059,7819,2,'Vargenau'
2060,325,3,'Vargenau'
2061,6272,0,'Азарбижан'
2062,58,14,'Азарбижан'
2063,290,14,'Азарбижаналъул_шагьарал'
2064,279,14,'Россиялъул_шагьарал'
2065,50,2,'Hégésippe'
2066,73,3,'Hégésippe'
2139,4936,2,'Xandi'
2140,8333,2,'Escarbot'
2141,839,3,'Escarbot'
2142,6215,0,'Гуржи'
2143,55,14,'Гуржи'
2144,3643,0,'Тулпис'
2145,107,14,'Гуржиялъул_шагьарал'
2146,5277,2,'Andre_Engels'
2147,6226,2,'Robbot'
2148,7377,2,'TXiKiBoT'
2209,6150,2,'Thijs!bot'
2210,666,2,'Ev'
2211,52,2,'Qurqa~avwiki'
2212,228,0,'Хубар'
2213,3168,2,'Effeietsanders'
2215,1066,10,'Delete'
2216,801,2,'Bastique'
2217,38,3,'Bastique'
2218,7537,2,'JAnDbot'
2219,4003,2,'Scooter'
2220,358,0,'Кутиша'
2223,6433,2,'Kelovy'
2225,6677,2,'VolkovBot'
2226,950,2,'Qualia'
2227,21,2,'Dcoetzee'
2228,161,2,'ReyBrujo'
2229,7709,2,'ReyBrujo/Dumps'
2230,1868,2,'ReyBrujo/Dumps/20070207'
2231,849,2,'ReyBrujo/Styles/Header'
2232,74,2,'ReyBrujo/Styles/Footer'
2233,3418,2,'ReyBrujo/Dumps/20070207/Articles_with_more_than_1_external_links'
2234,1054,2,'ReyBrujo/Dumps/20070207/Sites_linked_more_than_1_times'
2235,951,2,'Mithridates'
2236,157,0,'Новочеркасск'
2237,13762,0,'Москва'
2238,183,14,'Дагъистаналъул_мацIал'
2239,181,14,'Россиялъул_мацIал'
2240,431,2,'ReyBrujo/Dumps/Archive'
2241,2732,2,'ReyBrujo/Dumps/20070222'
2242,3453,2,'ReyBrujo/Dumps/20070222/Articles_with_more_than_1_external_links'
2243,2059,2,'ReyBrujo/Dumps/20070326'
2244,2059,2,'ReyBrujo/Dumps/20070402'
2253,2093,2,'ReyBrujo/Dumps/20070416'
2257,2513,2,'ReyBrujo/Dumps/20070425'
2267,313,2,'MaxSem'
2269,5873,2,'EDUCA33E'
2277,52,10,'Ana_sayfa_günün_resmi'
2282,56,2,'Yosri'
2283,976,1,'Азарбижан'
2284,3689,2,'Tximist'
2285,32,2,'Cbrown1023'
2286,17,2,'Jorunn'
2287,211,2,'Byrial'
2288,3670,2,'Byrialbot'
2289,33,2,'Majorly'
2290,2847,3,'Purodha'
2291,39347,2,'Purodha'
2292,333,3,'PipepBot'
2293,7879,2,'PipepBot'
2295,6669,2,'Siebrand'
2296,6881,2,'SieBot'
2297,272,3,'SieBot'
2299,8011,2,'BotMultichill'
2300,293,3,'Multichill'
2301,9381,2,'Multichill'
2302,64,3,'BotMultichill'
2303,152,1,'Жакъасел_лъугьа-бахъинал'
2305,99,2,'A._B.'
2306,99,3,'A._B.'
2309,90,2,'Ooswesthoesbes'
2312,3697,4,'Nospam'
2315,64,2,'Magister_Mathematicae'
2316,22,3,'Jorunn'
2323,57,4,'Пожертвования'
2326,122,3,'Pathoschild'
2333,22,2,'MF-Warburg'
2334,1632,2,'DerHexer'
2335,136,3,'AlleborgoBot'
2336,7899,2,'AlleborgoBot'
2338,510,10,'User_sk'
2339,586,14,'User_sk-N'
2340,85,14,'User_sk'
2342,31,3,'Magister_Mathematicae'
2343,58,2,'Parolu_Esperanto~avwiki'
2344,17,2,'Az1568'
2345,22,3,'Az1568'
2346,601,0,'Куритиба'
2347,138,2,'Girdi'
2348,2883,2,'Erkan_Yilmaz'
2349,250,3,'MaxSem'
2350,195,2,'Riana'
2351,276,2,'Alexbot'
2352,6242,2,'Alexsh'
2353,1849,7,'Wiki.png'
2355,123,1,'Алмазан'
2356,20,2,'Dungodung'
2357,727,3,'Mr.Micober'
2358,18,2,'Werdan7'
2359,23,3,'Werdan7'
2361,53,2,'Nick1915'
2362,35,3,'Nick1915'
2364,25,2,'Mike.lifeguard'
2365,30,3,'Mike.lifeguard'
2366,103,3,'Alexbot'
2367,86,2,'MastiBot'
2368,854,10,'Bot'
2369,2981,3,'Purbo_T'
2370,9738,2,'Purbo_T'
2371,796,0,'Ютерзен'
2372,102,3,'Alexsh'
2373,898,3,'Spacebirdy'
2374,4665,2,'Carkuni'
2377,816,0,'Славяниял_мацIал'
2379,77,2,'Meno25'
2381,349,0,'Инхоб'
2382,130,0,'Закатала'
2383,8213,2,'Idioma-bot'
2384,26,3,'Idioma-bot'
2385,246,2,'Mike.lifeguard/monobook.js'
2389,6827,0,'Закатала_мухъ'
2390,4427,3,'Nuzal~avwiki'
2391,881,0,'Кукам'
2392,654,0,'МацӀихъ_жамагӀат'
2394,1094,0,'Унго-унгояб_ГӀисал_ГьатӀан'
2395,50,2,'Brunoy_Anastasiya_Seryozhenko'
2396,49,2,'GerardM'
2397,482,1,'Gergebil'
2398,15,2,'Innv'
2399,4018,2,'Junafani'
2400,42,2,'VIGNERON'
2401,29,2,'SpBot'
2402,384,3,'SpBot'
2403,6709,2,'ZorroIII'
2404,80,2,'Caiaffa'
2405,8055,2,'Darev'
2406,9429,2,'CarsracBot'
2407,6192,2,'Janwo'
2408,272,2,'Daniel'
2409,227,3,'Daniel'
2410,38,2,'Moe_Epsilon'
2411,886,2,'StigBot'
2412,1723,2,'YourEyesOnly'
2413,5931,2,'Frank5308000'
2414,7388,2,'MenoBot'
2415,620,2,'Messir'
2416,64,3,'MenoBot'
2417,41,2,'Pwjb'
2418,1,2,'Edward_the_Confessor'
2419,5617,2,'Law_soma'
2420,10880,2,'WikiDreamer'
2421,30,3,'WikiDreamer'
2422,11913,2,'WikiDreamer_Bot'
2423,30,3,'WikiDreamer_Bot'
2424,30,2,'Lab-oratory'
2426,837,2,'Lambdoid'
2428,33,2,'Emijrp'
2429,33,3,'Emijrp'
2430,30,2,'EL-259'
2431,1132,2,'MelancholieBot/info'
2432,314,2,'MelancholieBot/stat'
2433,43,2,'MelancholieBot'
2434,423,2,'Melancholie/info'
2435,40,2,'Melancholie'
2436,950,2,'QualiaBot'
2438,246,2,'Herbythyme'
2439,305,2,'Valhallasw-bot'
2440,19,2,'Cuaxdon'
2442,37,2,'Jredmond'
2443,7554,2,'MoiraMoira'
2444,1378,3,'MoiraMoira'
2445,31040,2,'Ptbotgourou'
2446,4164,2,'Gdgourou'
2447,91,2,'Phoebe'
2448,15,2,'Kylu'
2449,39,2,'Jeroen'
2450,88,2,'Marbot'
2451,246,3,'Marbot'
2452,6682,2,'TXiKi'
2453,8138,2,'HerculeBot'
2454,141,2,'Valentim'
2455,40,2,'Spl908455'
2456,7418,2,'Amire80'
2457,777,2,'Knopfkind'
2458,5132,2,'Adolfobs93'
2459,28,0,'Кизляр'
2460,22,0,'Буйнахъск'
2461,376,0,'ЧӀикӀаб'
2462,22,0,'Шурагьиб'
2463,39,12,'Справка'
2465,3476,4,'Гьанжесел_лъугьа-бахъинал'
2466,116,0,'ЧIикIаб_водохранилище'
2467,309,0,'Миллат'
2469,19086,2,'Nikkis'
2470,8169,2,'Dmitri_Lytov'
2471,64,3,'MONARCH79'
2472,213,2,'Horst'
2473,48,2,'Fievarsty'
2474,1934,2,'Manecke'
2475,151,2,'Maxval'
2476,30,2,'Abestic28'
2477,35,3,'Abestic28'
2478,148,10,'Данде'
2479,6622,2,'DragonBot'
2481,118,2,'Shanel/monobook.js'
2483,954,2,'Thogo'
2484,200,2,'WikimediaNotifier'
2485,36,3,'WikimediaNotifier'
2486,370,2,'WikimediaNotifier/frame.css'
2487,123,2,'Spacebirdy/monobook.js'
2488,108,2,'Spacebirdy/monobook.css'
2489,622,2,'WikimediaNotifier/template'
2490,65,2,'WikimediaNotifier/config.js'
2491,248,2,'WikimediaNotifier/self.js'
2492,185,2,'Long_Range_Sniper'
2493,18399,2,'WikimediaNotifier/notifications'
2494,1824,2,'SterkeBak'
2496,141,2,'Kwj2772/monobook.js'
2499,98,3,'Ahonc'
2502,572,2,'Dovi'
2503,409,2,'Hugo.arg'
2504,0,2,'MF-Warburg/monobook.js'
2505,111,2,'WikimediaNotifier/google'
2506,125,2,'WikimediaNotifier/babelfish'
2507,640,2,'WikimediaNotifier/translate'
2508,155,2,'WikimediaNotifier/translation'
2509,734,2,'Melancholie/mmA_frame'
2510,123,2,'Cometstyles/monobook.js'
2511,135,2,'Melancholie/mmA'
2512,254,2,'Melancholie/mmA_blacklist'
2513,1911,2,'Lar'
2515,148,2,'Erwin/monobook.js'
2516,7042,2,'Muro_Bot'
2517,8191,2,'Muro_de_Aguas'
2518,378,2,'Guérin_Nicolas'
2519,333,2,'Bjs'
2520,333,3,'Bjs'
2521,36,2,'Julian_Mendez'
2522,41,3,'Julian_Mendez'
2523,29,2,'Synthebot'
2524,37,3,'Synthebot'
2525,37,2,'Kallerna'
2526,247,14,'Wikipedia_bots'
2527,5470,2,'Sebleouf'
2528,155,10,'Lang'
2529,157,10,'Lang-ru'
2530,195,10,'МацӀ-ru'
2531,161,10,'МацӀ+ru'
2532,195,10,'МацӀ*ru'
2534,148,14,'МацIал'
2535,195,10,'МацӀ-os'
2536,134,10,'Lang-os'
2537,193,10,'МацӀ*os'
2538,193,10,'МацӀ+os'
2539,233,10,'Чи'
2540,5242,2,'Eivindgh'
2541,5779,10,'Мухъ'
2542,119,14,'География/Шаблоны'
2547,141,10,'Lang-az'
2548,194,10,'МацӀ-az'
2549,3533,0,'КахІиб_мухъ'
2552,560,0,'Районалъул_тахшагьар'
2553,5838,0,'Билкан_мухъ'
2554,135,0,'КахIиб'
2555,513,10,'SIL'
2556,220,10,'Азарбижан'
2557,61,14,'Азарбижан/Шаблоны'
2558,531,10,'Azerbaijan-geo-stub'
2559,78,14,'ТIурачIел_макъалаби/Шаблоны'
2560,69,10,'Азарбижан_stub'
2561,139,14,'Азарбижан_тIурачIел_макъалаби'
2562,1351,10,'Цо_магІна_гуреб'
2563,126,14,'Википедия:Шаблоны'
2564,62,0,'Авар_мацI'
2565,72,14,'Азербайджаналъул_росаби'
2566,3496,0,'Лаваша_мухъ'
2567,130,14,'Дагъистаналъул_мухъал'
2568,514,0,'Мухъахъ'
2569,103,14,'Закатала_район'
2570,352,10,'Coord'
2571,252,10,'Coord/display/title'
2572,1022,10,'Coord/input/dms'
2573,2796,10,'Coord/link'
2574,188,10,'Coor_URL'
2575,118,10,'Coor_URL/doc'
2576,406,10,'Coord/dms2dec'
2577,434,10,'Precision1'
2578,198,10,'Precision/tz'
2579,317,10,'Precision/tz/1'
2580,531,0,'Бехе_Тала'
2581,523,0,'Жагънаб'
2582,4693,10,'Закатала_район'
2583,586,0,'КъибицIдира'
2584,541,0,'Бехе_Чардахъ'
2585,476,0,'Беретросу_(Закатала_район)'
2586,552,0,'Эхеди_Чардахъ'
2587,352,0,'Эхеди_Тала'
2588,406,10,'Чияс'
2589,405,0,'БитIди_Тала'
2590,886,10,'Navbox/doc'
2591,22609,10,'Navbox'
2592,179,10,'Color'
2593,1718,10,'Color/doc'
2594,1738,10,'Tnavbar'
2595,7211,10,'Tnavbar/doc'
2596,130,3,'Almabot'
2597,7876,2,'Almabot'
2598,6494,0,'Билкан'
2599,984,0,'Эхеди_Тала_жамагӀат'
2600,1155,0,'Кукам_жамагӀат'
2601,567,0,'Дартукъаз'
2602,56,0,'Битди_Тала'
2603,571,0,'Чудулоб'
2604,520,0,'Лагадухъ_(Закатала_район)'
2605,3441,10,'Билкан_район'
2606,103,14,'Билкан_район'
2607,132,14,'Азарбижаналъул_районал'
2608,72,14,'Азарбижаналъул_росаби'
2609,574,0,'БеретIросу_(Билкан_район)'
2610,1887,0,'Рутулал'
2611,643,0,'Армянал'
2612,960,0,'ЦІор'
2613,2054,0,'Лагадухъ_район'
2614,38,2,'Bennylin'
2615,1511,2,'Movses'
2616,2367,2,'Huhu'
2617,533,10,'User_de'
2618,7832,2,'Razorflame'
2619,196,10,'МацӀ*az'
2620,19,10,'МацӀ+az'
2623,6520,2,'JøMa'
2624,52,2,'Aotake'
2628,110,2,'Charitwo/monobook.css'
2630,122,2,'Mardetanha/monobook.js'
2632,6765,2,'らぼるぺ'
2633,114,0,'Авар'
2635,116,2,'Kylu/monobook.js'
2636,106,2,'Kylu/monobook.css'
2637,94,14,'1908'
2639,133,10,'Lang-ka'
2640,346,10,'МацӀ+ka'
2642,276,10,'ТIинчI-Гуржи'
2643,49,10,'Гуржи_stub'
2644,252,10,'Гуржи'
2646,1354,0,'Къварилъиб_район'
2647,346,10,'МацӀ-ka'
2648,346,10,'МацӀ*ka'
2649,184,0,'Лагадухъ'
2650,882,10,'Хунзахъ_район'
2651,2421,0,'Хунзахъ_мухъ'
2652,800,10,'•'
2654,120,10,'Lang-tr'
2655,104,10,'МацӀ+tr'
2656,276,10,'ТӀинчӀ-Дагъистан'
2657,627,10,'Dagestan-geo-stub'
2658,2575,0,'Шеки_мухъ'
2659,6453,0,'Рутул_мухъ'
2660,56,0,'Рутул_район'
2661,2603,0,'Ахтиб_мухъ'
2662,84,0,'Беретросу_жамагIат_(Закатала_район)'
2663,523,0,'ЧIинчIар'
2664,555,0,'Чукак'
2665,446,0,'ЦIумилухъ'
2666,572,0,'БитӀди_Тала_жамагӀат'
2667,32,0,'Бехе_Тала_жамагӀат'
2668,37,0,'Бехе_Чардахъ_жамагӀат'
2669,570,0,'МацIихъ'
2670,564,0,'ЦIияб_Сувалгъвел'
2671,66,0,'ЦIияб_Сувалгъвел_жамагӀат'
2672,522,0,'Къандахъ'
2673,31,0,'Къандахъ_жамагӀат'
2674,434,0,'Лагьиж_жамагӀат'
2675,520,0,'Халаябтала'
2676,56,0,'Халаябтала_жамагӀат'
2677,526,0,'ГIалиабад'
2678,462,0,'Маъарухъ_жамагӀат'
2679,375,0,'Маъарухъ'
2680,587,0,'Лагьиж'
2681,525,0,'МакӀав_жамагӀат'
2682,364,0,'МакIав'
2683,528,0,'Инхигьани'
2684,54,0,'Инхигьани_жамагӀат'
2685,654,0,'КIацIбарахъ'
2686,56,0,'КӀацӀбарахъ_жамагӀат'
2687,517,0,'Мосавал'
2688,50,0,'Мосавал_жамагӀат'
2689,29,0,'Мухъахъ_жамагӀат'
2690,45,0,'МицIихъ_жамагIат'
2691,40,0,'Эхеди_Чардахъ_жамагӀат'
2692,528,0,'Верхвиани'
2693,54,0,'Верхвиани_жамагӀат'
2694,469,0,'Щобдакули_жамагӀат'
2695,382,0,'Щобдакули'
2696,535,0,'Мугъал-росу'
2697,57,0,'Мугъал-росу_жамагӀат'
2698,573,0,'Динчиб'
2699,48,0,'ТӀинчиб_жамагӀат'
2700,466,0,'ЧӀар_жамагӀат'
2701,2255,0,'ЧІар'
2702,1316,10,'Гумбет_район'
2703,39,0,'Гумбет_мухъ'
2704,846,0,'Алазан'
2705,103,14,'КахIиб_район'
2706,103,14,'Нуха_район'
2707,95,14,'Лагадухъ_район'
2708,180,14,'Гуржиялъул_районал'
2709,95,14,'Къварилъиб_район'
2710,139,14,'Дагъистан_тIурачIел_макъалаби'
2711,103,14,'Хунзахъ_район'
2712,84,14,'Лаваша_район'
2713,84,14,'Гумбет_район'
2714,84,14,'Газал_район'
2715,84,14,'Ахтиб_район'
2716,807,10,'Лаваша_район'
2717,72,14,'Дагъистаналъул_росаби'
2719,1075,0,'Дагъистаналъул_халкъал'
